ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3544,international,FR_LFMP_IE_EIDW,13890,PERPIGNAN RIVESALTES airport - DUBLIN airport,FR_LFMP,FR,LFMP,PERPIGNAN RIVESALTES airport,IE_EIDW,IE,EIDW,DUBLIN airport
3545,domestic,ES_GCTS_ES_LEAS,13852,TENERIFE SUR/REINA SOFIA airport - ASTURIAS airport,ES_GCTS,ES,GCTS,TENERIFE SUR/REINA SOFIA airport,ES_LEAS,ES,LEAS,ASTURIAS airport
3546,international,DE_EDDH_HR_LDZD,13846,HAMBURG airport - ZADAR/ZEMUNIK airport,DE_EDDH,DE,EDDH,HAMBURG airport,HR_LDZD,HR,LDZD,ZADAR/ZEMUNIK airport
3547,domestic,UK_EGHI_UK_EGNM,13829,SOUTHAMPTON airport - LEEDS BRADFORD airport,UK_EGHI,UK,EGHI,SOUTHAMPTON airport,UK_EGNM,UK,EGNM,LEEDS BRADFORD airport
3548,international,CY_LCLK_RO_LRIA,13785,LARNAKA/INTL airport - IASI airport,CY_LCLK,CY,LCLK,LARNAKA/INTL airport,RO_LRIA,RO,LRIA,IASI airport
3549,international,FR_LFMU_UK_EGGD,13771,BEZIERS-VIAS airport - BRISTOL airport,FR_LFMU,FR,LFMU,BEZIERS-VIAS airport,UK_EGGD,UK,EGGD,BRISTOL airport
3550,international,DE_EDDB_HR_LDZD,13766,BERLIN-BRANDENBURG airport - ZADAR/ZEMUNIK airport,DE_EDDB,DE,EDDB,BERLIN-BRANDENBURG airport,HR_LDZD,HR,LDZD,ZADAR/ZEMUNIK airport
3551,international,DE_EDDL_HR_LDZD,13766,DUESSELDORF airport - ZADAR/ZEMUNIK airport,DE_EDDL,DE,EDDL,DUESSELDORF airport,HR_LDZD,HR,LDZD,ZADAR/ZEMUNIK airport
3552,international,IT_LIEE_PL_EPMO,13758,CAGLIARI/ELMAS airport - WARSZAWA/MODLIN airport,IT_LIEE,IT,LIEE,CAGLIARI/ELMAS airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport
3553,international,BE_EBCI_FR_LFTH,13751,CHARLEROI/BRUSSELS SOUTH airport - HYERES-LE PALYVESTRE airport,BE_EBCI,BE,EBCI,CHARLEROI/BRUSSELS SOUTH airport,FR_LFTH,FR,LFTH,HYERES-LE PALYVESTRE airport
3554,domestic,RO_LROP_RO_LRSV,13749,BUCURESTI/HENRI COANDA airport - SUCEAVA/STEFAN CEL MARE airport,RO_LROP,RO,LROP,BUCURESTI/HENRI COANDA airport,RO_LRSV,RO,LRSV,SUCEAVA/STEFAN CEL MARE airport
